,,,
Cotinus coggygria,twigs,dbgi_000909,Anacardiaceae
Mangifera indica,leaves,dbgi_001015,Anacardiaceae
Pistacia vera,twigs,dbgi_000914,Anacardiaceae
Schinus molle,twigs,dbgi_000985,Anacardiaceae
Schinus molle,leaves,dbgi_001009,Anacardiaceae
Commiphora abyssinica,twigs,dbgi_001088,Burseraceae
Khaya senegalensis,leaves,dbgi_001085,Meliaceae
Citrus limon,leaves,dbgi_001084,Rutaceae
Citrus microcarpa,leaves,dbgi_001086,Rutaceae
Citrus reticulata,leaves,dbgi_001087,Rutaceae
Citrus sinensis,leaves,dbgi_001089,Rutaceae
Bergera koenigii,leaves,dbgi_001083,Rutaceae
Ruta chalepensis,leaves,dbgi_001110,Rutaceae
Ruta graveolens,leaves,dbgi_001109,Rutaceae
Acer buergerianum,twigs,dbgi_001098,Sapindaceae
Acer campestre,twigs,dbgi_001104,Sapindaceae
Acer capillipes,twigs,dbgi_001093,Sapindaceae
Acer cappadocicum,twigs,dbgi_001103,Sapindaceae
Acer carpinifolium,twigs,dbgi_001108,Sapindaceae
Acer griseum,twigs,dbgi_001092,Sapindaceae
Acer hyrcanum,twigs,dbgi_001099,Sapindaceae
Acer japonicum,twigs,dbgi_001097,Sapindaceae
Acer pictum subsp. mono,twigs,dbgi_001102,Sapindaceae
Acer monspessulanum,twigs,dbgi_001107,Sapindaceae
Acer negundo,twigs,dbgi_001100,Sapindaceae
Acer opalus,twigs,dbgi_001091,Sapindaceae
Acer palmatum,twigs,dbgi_001095,Sapindaceae
Acer rufinerve,twigs,dbgi_001094,Sapindaceae
Acer saccharinum,twigs,dbgi_001096,Sapindaceae
Acer saccharum,twigs,dbgi_001101,Sapindaceae
Acer sempervirens,twigs,dbgi_001106,Sapindaceae
Acer tataricum,twigs,dbgi_001105,
Quassia amara,leaves,dbgi_001090,
Anacardium occidentale,leaves,STG-01-001,Anacardiaceae
Anacardium occidentale,stem bark,STG-01-002,Anacardiaceae
Anacardium occidentale,root bark,STG-01-003,Anacardiaceae
Haemotostaphis barteri,leaves,STG-01-004,Anacardiaceae
Haemotostaphis barteri,stem bark,STG-01-005,Anacardiaceae
Haemotostaphis barteri,root bark,STG-01-006,Anacardiaceae
Lannea barteri,leaves,STG-01-007,Anacardiaceae
Lannea barteri,stem bark,STG-01-008,Anacardiaceae
Lannea barteri,root bark,STG-01-009,Anacardiaceae
Mangifera indica,leaves,STG-01-010,Anacardiaceae
Mangifera indica,stem bark,STG-01-011,Anacardiaceae
Mangifera indica,root bark,STG-01-012,Anacardiaceae
Pseudospondias microcarpa,leaves,STG-01-013,Anacardiaceae
Pseudospondias microcarpa,stem bark,STG-01-014,Anacardiaceae
Pseudospondias microcarpa,root bark,STG-01-015,Anacardiaceae
Pseudospondias microcarpa,fruits,STG-01-016,Anacardiaceae
Sclerocarya birrea,leaves,STG-01-017,Anacardiaceae
Sclerocarya birrea,stem bark,STG-01-018,Anacardiaceae
Sclerocarya birrea,root bark,STG-01-019,Anacardiaceae
Spondias dulcis,leaves,STG-01-020,Anacardiaceae
Spondias dulcis,stem bark,STG-01-021,Anacardiaceae
Spondias dulcis,root bark,STG-01-022,Anacardiaceae
Aspillia africana,leaves,STG-01-023,Asteraceae
Aspillia africana,roots,STG-01-024,Asteraceae
