CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
9419	9535	1	0.7826	27.995
9419	10202	1	0.7356	-25.032
9535	10202	1	0.7546	-53.027
9419	10619	1	0.8013	-45.058
9535	9617	1	0.7809	-0.984
5332	16131	2	0.85	-132.081
9424	16968	2	0.8037	-264.158
9424	13094	2	0.8301	44.025
16797	16834	2	0.826	220.126
5178	8488	2	0.7771	-132.078
9424	13357	2	0.7784	105.082
5119	16797	2	0.8434	132.078
11934	13357	2	0.7602	88.056
9834	17091	2	0.8395	132.070
9424	9834	2	0.768	-352.208
12087	16884	2	0.804	264.157
8488	11934	2	0.7743	88.048
9834	16968	2	0.8332	88.049
9424	16884	2	0.8484	-132.081
9834	16834	2	0.8006	264.152
5119	9834	2	0.8277	88.053
8488	13357	2	0.7882	176.105
5178	5332	2	0.7764	-105.077
9834	16884	2	0.8144	220.127
11934	12264	2	0.7928	-44.023
9834	16797	2	0.8476	44.025
9424	16797	2	0.7893	-308.182
12087	16131	2	0.7915	220.134
12087	16968	2	0.8254	132.079
5332	9834	2	0.785	-308.186
16834	17091	2	0.871	-132.082
16834	16884	2	0.8922	-44.025
5332	16834	2	0.8725	-44.034
9661	13357	2	0.7679	220.132
5119	16968	2	0.8177	176.102
9424	17091	2	0.8028	-220.138
9424	16131	2	0.8107	-176.103
5332	9424	2	0.8374	44.022
13094	13357	2	0.7817	61.057
4843	12264	2	0.7646	132.077
16884	17091	2	0.8685	-88.057
4843	8488	2	0.7777	88.052
12087	16797	2	0.863	88.055
4843	9661	2	0.7697	44.025
16131	16797	2	0.8253	-132.079
16797	17091	2	0.8562	88.044
5119	17091	2	0.8041	220.123
5332	16884	2	0.8674	-88.059
4843	12087	2	0.768	-237.163
16797	16884	2	0.8471	176.101
16968	17091	2	0.8718	44.021
5332	16968	2	0.8223	-220.136
9424	16834	2	0.8539	-88.056
9661	12264	2	0.7772	88.052
9661	11934	2	0.7965	132.076
5332	16797	2	0.8148	-264.160
13094	16884	2	0.8259	-176.106
16131	17091	2	0.8748	-44.035
16131	16968	2	0.8699	-88.055
8488	12264	2	0.7851	44.025
13094	16131	2	0.7719	-220.128
5178	11934	2	0.7819	-44.029
16797	16968	2	0.852	44.024
5119	16834	2	0.795	352.205
13094	16834	2	0.8142	-132.081
5119	12087	2	0.8423	44.023
8488	9661	2	0.7824	-44.027
5332	17091	2	0.8343	-176.116
5332	13094	2	0.8375	88.047
5178	13094	2	0.7572	-17.030
5178	13357	2	0.7844	44.027
16884	16968	2	0.8615	-132.078
16131	16884	2	0.8515	44.022
16834	16968	2	0.876	-176.103
16131	16834	2	0.8372	88.047
12087	17091	2	0.8334	176.100
9834	12087	2	0.8278	-44.030
5178	12264	2	0.7672	-88.053
9834	16131	2	0.8319	176.104
12264	13357	2	0.7666	132.080
9105	10326	3	0.8018	-86.039
10293	12735	3	0.8149	-162.052
197	12943	3	0.8157	-2.016
6784	10158	3	0.8073	0.001
10158	12735	3	0.8279	-76.015
9105	10293	3	0.7857	162.051
1665	12943	3	0.8027	324.106
12943	13178	3	0.8464	-248.089
6784	8854	3	0.7807	-162.051
8854	10158	3	0.8638	162.052
10326	12735	3	0.8504	86.038
6784	13178	3	0.8022	-162.050
6073	10293	3	0.807	86.038
6784	12735	3	0.7814	-76.014
6784	10326	3	0.8308	-162.052
12735	12943	3	0.8342	162.052
6073	8854	3	0.8134	-162.051
10293	10326	3	0.8859	-248.090
1665	12735	3	0.8318	162.054
8854	13178	3	0.8298	0.000
10293	13178	3	0.8352	-248.089
10158	10293	3	0.8977	86.037
9105	13178	3	0.8279	-86.038
8854	10293	3	0.8507	248.089
1665	9105	3	0.8767	162.055
8854	10326	3	0.8585	-0.001
10158	10326	3	0.8991	-162.052
10326	13178	3	0.8309	0.001
9105	12735	3	0.8761	-0.001
8854	12735	3	0.8241	86.037
6073	10326	3	0.8147	-162.052
12735	13178	3	0.8235	-86.037
9105	12943	3	0.8949	162.051
6784	9105	3	0.7947	-76.013
6073	10158	3	0.8419	0.001
10158	13178	3	0.8036	-162.051
6784	10293	3	0.8359	86.038
2124	12693	4	0.779	-148.073
8038	15461	4	0.8639	-139.063
635	10589	4	0.7559	-29.027
3013	3711	4	0.8264	0.000
3310	15791	4	0.9	2.016
635	758	4	0.8098	88.052
758	15461	4	0.8682	-139.063
2921	3175	4	0.8365	-15.993
1391	5241	4	0.9178	19.969
4777	10819	4	0.9315	60.022
7471	10671	4	0.7767	0.000
505	13268	4	0.8279	-5.027
3153	4235	4	0.9065	17.027
1574	12965	4	0.7549	-14.014
635	3509	4	0.8142	28.031
3869	5869	4	0.9259	-17.028
1121	3310	4	0.902	-2.016
2124	5105	4	0.7677	-120.043
4777	5241	4	0.9251	-59.073
5869	10819	4	0.9285	117.079
3449	12632	4	0.8333	17.025
8065	12693	4	0.7589	17.027
1667	5241	4	0.9221	-42.046
1667	12467	4	0.9214	-44.989
758	8038	4	0.9261	-0.000
3869	10819	4	0.9094	100.051
3175	12911	4	0.795	-18.012
505	1741	4	0.8209	-21.984
9442	13245	4	0.7962	-15.995
4309	10589	4	0.808	-40.032
1501	12693	4	0.7096	-130.062
12693	13365	4	0.8134	88.052
2397	12911	4	0.9311	60.021
1982	3449	4	0.7395	-12.059
1667	3869	4	0.9171	-23.003
1391	1667	4	0.9077	62.016
11334	12658	4	0.8604	17.027
505	635	4	0.8402	12.000
1121	12467	4	0.8878	-122.036
3153	13379	4	0.9071	77.048
3013	9442	4	0.9268	-0.000
5869	12467	4	0.9254	-4.958
1435	10686	4	0.7759	-62.015
