sample_name	filename	sample_id	sample_type	species	plant_part
20230323T140602Z_ED_dbgi_000909_01.mzML	20230323T140602Z_ED_dbgi_000909_01.mzML	dbgi_000909_01	sample	Cotinus coggygria	twigs
20230323T140602Z_ED_dbgi_001015_01.mzML	20230323T140602Z_ED_dbgi_001015_01.mzML	dbgi_001015_01	sample	Mangifera indica	leaves
20230323T140602Z_ED_dbgi_000914_01.mzML	20230323T140602Z_ED_dbgi_000914_01.mzML	dbgi_000914_01	sample	Pistacia vera	twigs
20230323T140602Z_ED_dbgi_000985_01.mzML	20230323T140602Z_ED_dbgi_000985_01.mzML	dbgi_000985_01	sample	Schinus molle	twigs
20230323T140602Z_ED_dbgi_001009_01.mzML	20230323T140602Z_ED_dbgi_001009_01.mzML	dbgi_001009_01	sample	Schinus molle	leaves
20230323T140602Z_ED_dbgi_001088_01.mzML	20230323T140602Z_ED_dbgi_001088_01.mzML	dbgi_001088_01	sample	Commiphora abyssinica	twigs
20230323T140602Z_ED_dbgi_001085_01.mzML	20230323T140602Z_ED_dbgi_001085_01.mzML	dbgi_001085_01	sample	Khaya senegalensis	leaves
20230323T140602Z_ED_dbgi_001084_01.mzML	20230323T140602Z_ED_dbgi_001084_01.mzML	dbgi_001084_01	sample	Citrus limon	leaves
20230323T140602Z_ED_dbgi_001086_01.mzML	20230323T140602Z_ED_dbgi_001086_01.mzML	dbgi_001086_01	sample	Citrus microcarpa	leaves
20230323T140602Z_ED_dbgi_001087_01.mzML	20230323T140602Z_ED_dbgi_001087_01.mzML	dbgi_001087_01	sample	Citrus reticulata	leaves
20230323T140602Z_ED_dbgi_001089_01.mzML	20230323T140602Z_ED_dbgi_001089_01.mzML	dbgi_001089_01	sample	Citrus sinensis	leaves
20230323T140602Z_ED_dbgi_001083_01.mzML	20230323T140602Z_ED_dbgi_001083_01.mzML	dbgi_001083_01	sample	Bergera koenigii	leaves
20230323T140602Z_ED_dbgi_001110_01.mzML	20230323T140602Z_ED_dbgi_001110_01.mzML	dbgi_001110_01	sample	Ruta chalepensis	leaves
20230323T140602Z_ED_dbgi_001109_01.mzML	20230323T140602Z_ED_dbgi_001109_01.mzML	dbgi_001109_01	sample	Ruta graveolens	leaves
20230323T140602Z_ED_dbgi_001098_01.mzML	20230323T140602Z_ED_dbgi_001098_01.mzML	dbgi_001098_01	sample	Acer buergerianum	twigs
20230323T140602Z_ED_dbgi_001104_01.mzML	20230323T140602Z_ED_dbgi_001104_01.mzML	dbgi_001104_01	sample	Acer campestre	twigs
20230323T140602Z_ED_dbgi_001093_01.mzML	20230323T140602Z_ED_dbgi_001093_01.mzML	dbgi_001093_01	sample	Acer capillipes	twigs
20230323T140602Z_ED_dbgi_001103_01.mzML	20230323T140602Z_ED_dbgi_001103_01.mzML	dbgi_001103_01	sample	Acer cappadocicum	twigs
20230323T140602Z_ED_dbgi_001108_01.mzML	20230323T140602Z_ED_dbgi_001108_01.mzML	dbgi_001108_01	sample	Acer carpinifolium	twigs
20230323T140602Z_ED_dbgi_001092_01.mzML	20230323T140602Z_ED_dbgi_001092_01.mzML	dbgi_001092_01	sample	Acer griseum	twigs
