structure_wikidata,protonated_emass,rt,structure_nameTraditional,structure_molecular_formula
http://www.wikidata.org/entity/Q105025671,1853.191209,0,Undecagalloylglucos,C83H56O50
http://www.wikidata.org/entity/Q104397750,1701.18025,0,Decagalloylglucose,C76H52O46
http://www.wikidata.org/entity/Q427956,1701.18025,0,Tannic acid,C76H52O46
http://www.wikidata.org/entity/Q104397749,1549.169292,0,Nonagalloylglucose,C69H48O42
http://www.wikidata.org/entity/Q104967041,1499.726427,0,Kalopanaxsaponin K,C70H114O34
http://www.wikidata.org/entity/Q104397748,1397.158333,0,Octagalloylglucose,C62H44O38
http://www.wikidata.org/entity/Q27137711,1383.679083,0,Kalopanaxsaponin C,C65H106O31
http://www.wikidata.org/entity/Q105345580,1367.995152,0,"[3-[[4-[2,3-Di(hexadecanoyloxy)propoxy-hydroxyphosphoryl]oxy-3-hydroxybutoxy]-hydroxyphosphoryl]oxy-2-hexadecanoyloxypropyl] hexadecanoate",C74H144O17P2
http://www.wikidata.org/entity/Q105019477,1353.668518,0,3beta-[[2-O-(3-O-beta-D-Xylopyranosyl-alpha-L-rhamnopyranosyl)-alpha-L-arabinopyranosyl]oxy]-23-hydroxyoleana-12-ene-28-oic acid 6-O-beta-D-glucopyranosyl-2-O-alpha-L-rhamnopyranosyl-beta-D-glucopyranosyl ester,C64H104O30
http://www.wikidata.org/entity/Q27137712,1353.668518,0,Sieboldianoside A,C64H104O30
http://www.wikidata.org/entity/Q105136391,1351.689253,0,"[(2R,3R,4S,5S,6R)-2-[[(3S,4aR,6aR,6bS,8aR,9R,10R,12aS,14aR,14bR)-8a-[[(2R,3R,4S,5S,6R)-4,5-dihydroxy-6-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxymethyl]-9,10-dihydroxy-4,4,6a,6b,11,11,14b-heptamethyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-4,5-dihydroxy-6-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-3-yl] 2-methylbut-2-enoate",C65H106O29
http://www.wikidata.org/entity/Q105136393,1351.689253,0,"[(2R,3R,4S,5S,6R)-2-[[(3S,4aR,6aR,6bS,8aR,9R,10R,12aS,14aR,14bR)-8a-[[(2R,3R,4S,5S,6R)-4,5-dihydroxy-6-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxymethyl]-9,10-dihydroxy-4,4,6a,6b,11,11,14b-heptamethyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-4,5-dihydroxy-6-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-3-yl] (Z)-2-methylbut-2-enoate",C65H106O29
http://www.wikidata.org/entity/Q105307660,1351.689253,0,"[(2R,3R,4S,5R,6R)-2-[[(3S,4aR,6aR,6bS,8aR,9R,10R,12aS,14aR,14bR)-8a-[[(2R,3R,4S,5S,6R)-4,5-dihydroxy-6-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxymethyl]-9,10-dihydroxy-4,4,6a,6b,11,11,14b-heptamethyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-3,5-dihydroxy-6-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-4-yl] 2-methylbut-2-enoate",C65H106O29
http://www.wikidata.org/entity/Q105307661,1351.689253,0,"[(2R,3R,4S,5R,6R)-2-[[(3S,4aR,6aR,6bS,8aR,9R,10R,12aS,14aR,14bR)-8a-[[(2R,3R,4S,5S,6R)-4,5-dihydroxy-6-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxymethyl]-9,10-dihydroxy-4,4,6a,6b,11,11,14b-heptamethyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-3,5-dihydroxy-6-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-4-yl] (Z)-2-methylbut-2-enoate",C65H106O29
http://www.wikidata.org/entity/Q105095159,1343.663039,0,"(2S,3S,4S,5R,6R)-6-[[(3S,4S,6aR,6bS,8R,8aR,9R,10R,14bR)-8a-(acetyloxymethyl)-8,9-dihydroxy-4-(hydroxymethyl)-10-[(2S,3R,4R,5R,6R)-3-hydroxy-6-methyl-4,5-bis[[(Z)-2-methylbut-2-enoyl]oxy]oxan-2-yl]oxy-4,6a,6b,11,11,14b-hexamethyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-3-hydroxy-5-[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4-[(2R,3S,4S,5S,6R)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxane-2-carboxylic acid",C66H102O28
http://www.wikidata.org/entity/Q104913351,1269.647389,0,Xanifolia O54,C60H100O28
http://www.wikidata.org/entity/Q105218423,1253.616088,0,"3beta-[(2-O-alpha-L-Rhamnopyranosyl-alpha-L-arabinopyranosyl)oxy]-23,29-dihydroxyoleana-12-ene-28-oic acid 2-O,6-O-di(beta-D-glucopyranosyl)-beta-D-glucopyranosyl ester",C59H96O28
http://www.wikidata.org/entity/Q104986404,1251.564053,0,zanhasaponin C,C58H90O29
